Designator,Quantity,Comment

"C1, C2, C5, C6, C8, C10, C12, C15, C16, C17, C19, C20, C21, C23#1, C23#2","15","UMK105B7104KVHF"
"C3, C18","2","MSASU32MSB5106KPNA01"
"C4","1","MSASL21GBB5476MTNA01"
"C7, C22#1, C22#2","3","GRM155R60J475M"
"C9","1","GRM155R60J105K"
"C11","1","GRM155R60J106M"
"C13, C14","2","MCASU105SCG331JFNA01"
"D0","1","BAT54KFILM"
"D1","1","ESDA25P35-1U1M"
"J0","1","2171750001"
"J1","1",""
"J2","1","533980371"
"J3, J4, J5","3","532610271"
"LED1, LED2, LED3","3","WS2816A-2121"
"Q1","1","DMT35M4LFDF"
"R1, R5, R8#1, R8#2, R9#1, R9#2","6","RT0603BRD0710KL"
"R2","1","RT0603BRD0745K3L"
"R3","1","RT0603BRE07475RL"
"R4","1","RT0603BRD0718KL"
"R6, R7","2","RC0603FR-071K5L"
"SW1","1","B3U-3100P-B"
"U0","1","STM32U575RGT3"
"U1","1","TCPP01-M12"
"U2","1","TPSM84338RCJR"
"U3","1","AS5047P-ATSM"
"U4","1","TMC6300-LA"
"U6#1, U6#2","2","VL53L0CXV0DH/1"
