Altium Designer Pick and Place Locations
C:\Mac\Home\Documents\Fall 25\Thesis\hci\pcb\context_disk\context_disk\Project Outputs for context_disk\context_disk\Pick Place\Pick Place for main.csv

========================================================================================================================
File Design Information:

Date:       13/04/26
Time:       23:45
Revision:   16c7b61c9b4129fffc3c558f069393ce68970036
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer_Part_Number"
"J5","TopLayer","CONN_532610001-SD_02_MOL","79.2000","53.4455","0","532610271"
"J4","TopLayer","CONN_532610001-SD_02_MOL","90.2250","53.3500","0","532610271"
"J3","TopLayer","CONN_532610001-SD_02_MOL","100.9750","53.3500","0","532610271"
"LED3","TopLayer","ws2816a-2121","126.0300","55.2000","0","WS2816A-2121"
"LED2","TopLayer","ws2816a-2121","122.6700","55.2000","0","WS2816A-2121"
"LED1","TopLayer","ws2816a-2121","119.1300","55.2000","0","WS2816A-2121"
"U6#2","TopLayer","LGA12_STM","50.2000","16.8000","90","VL53L0CXV0DH/1"
"U6#1","TopLayer","LGA12_STM","8.2000","41.1670","90","VL53L0CXV0DH/1"
"R9#2","TopLayer","RC0603N_YAG","51.0890","20.8640","270","RT0603BRD0710KL"
"R9#1","TopLayer","RC0603N_YAG","9.0890","45.2310","270","RT0603BRD0710KL"
"R8#2","TopLayer","RC0603N_YAG","49.3110","20.8640","270","RT0603BRD0710KL"
"R8#1","TopLayer","RC0603N_YAG","7.3110","45.2310","270","RT0603BRD0710KL"
"R7","TopLayer","RC0603N_YAG","124.7000","49.1000","270","RC0603FR-071K5L"
"R6","TopLayer","RC0603N_YAG","126.7000","47.5000","180","RC0603FR-071K5L"
"C23#2","TopLayer","CAPC1005X55N","48.1000","15.4000","270","UMK105B7104KVHF"
"C23#1","TopLayer","CAPC1005X55N","6.1000","39.7670","270","UMK105B7104KVHF"
"C22#2","TopLayer","CAPC1005X55N","47.0000","15.4000","270","GRM155R60J475M"
"C22#1","TopLayer","CAPC1005X55N","5.0000","39.7670","270","GRM155R60J475M"
"U4","TopLayer","QFN40P300X300X90-21N","101.7400","41.0365","90","TMC6300-LA"
"U3","TopLayer","SOP65P640X120-14N","36.1890","40.8765","0","AS5047P-ATSM"
"U2","TopLayer","RCJ0009A-MFG","115.1704","22.3460","0","TPSM84338RCJR"
"U1","TopLayer","QFN50P300X300X100-13N-D","124.8824","24.3990","0","TCPP01-M12"
"U0","TopLayer","QFP50P1200X1200X160-64N","120.1241","41.3287","315","STM32U575RGT3"
"SW1","TopLayer","B3U3000PB","136.5979","55.0021","315","B3U-3100P-B"
"R5","TopLayer","RC0603N_YAG","112.0000","24.2000","90","RT0603BRD0710KL"
"R4","TopLayer","RC0603N_YAG","116.4000","26.2000","90","RT0603BRD0718KL"
"R3","TopLayer","RC0603N_YAG","127.2774","22.0360","270","RT0603BRE07475RL"
"R2","TopLayer","RC0603N_YAG","110.2214","22.4170","90","RT0603BRD0745K3L"
"R1","TopLayer","RC0603N_YAG","128.9284","22.0360","90","RT0603BRD0710KL"
"Q1","TopLayer","U-DFN2020-6_(Type_F)","123.9600","21.0200","90","DMT35M4LFDF"
"J2","TopLayer","CONN_53398_03_MOL","67.1208","40.8000","90","533980371"
"J1","TopLayer","009159010061911","138.5000","44.2000","270",""
"J0","TopLayer","2171750001_MOL","136.1600","24.2800","90","2171750001"
"D1","TopLayer","QFN1610_STM","131.9000","21.1000","90","ESDA25P35-1U1M"
"D0","TopLayer","SODFL1608X70N","131.1584","24.4070","0","BAT54KFILM"
"C21","TopLayer","CAPC1005X55N","101.3000","43.6000","0","UMK105B7104KVHF"
"C20","TopLayer","CAPC1005X55N","40.6570","41.5115","270","UMK105B7104KVHF"
"C19","TopLayer","CAPC1005X55N","103.9000","43.0000","135","UMK105B7104KVHF"
"C18","TopLayer","CAPC3225X270N","95.3520","40.3865","180","MSASU32MSB5106KPNA01"
"C17","TopLayer","CAPC1005X55N","101.3210","37.9645","270","UMK105B7104KVHF"
"C16","TopLayer","CAPC1005X55N","98.2730","40.6405","270","UMK105B7104KVHF"
"C15","TopLayer","CAPC1005X55N","115.1319","47.4324","315","UMK105B7104KVHF"
"C14","TopLayer","CAPC1005X55N","131.9204","25.6770","270","MCASU105SCG331JFNA01"
"C13","TopLayer","CAPC1005X55N","131.9204","23.1370","90","MCASU105SCG331JFNA01"
"C12","TopLayer","CAPC1005X55N","128.2374","24.4070","180","UMK105B7104KVHF"
"C11","TopLayer","CAPC1005X55N","120.7041","49.1959","315","GRM155R60J106M"
"C10","TopLayer","CAPC1005X55N","117.8000","33.5000","315","UMK105B7104KVHF"
"C9","TopLayer","CAPC1005X55N","112.9000","45.7000","225","GRM155R60J105K"
"C8","TopLayer","CAPC1005X55N","111.9000","46.7000","225","UMK105B7104KVHF"
"C7","TopLayer","CAPC1005X55N","116.2994","33.6926","45","GRM155R60J475M"
"C6","TopLayer","CAPC1005X55N","122.3000","49.8000","270","UMK105B7104KVHF"
"C5","TopLayer","CAPC1005X55N","128.4227","39.5298","180","UMK105B7104KVHF"
"C4","TopLayer","CAPC2012X145N","111.9994","19.6230","90","MSASL21GBB5476MTNA01"
"C3","TopLayer","CAPC3225X270N","118.8000","22.1000","90","MSASU32MSB5106KPNA01"
"C2","TopLayer","CAPC1005X55N","120.8792","22.6487","90","UMK105B7104KVHF"
"C1","TopLayer","CAPC1005X55N","112.5000","37.9000","45","UMK105B7104KVHF"
